date,spy,USYTFRB10Y=RR,USYTFRB2Y=RR,fed_rate
1969-12-31,92.06,,,
1970-01-02,93.0,,,
1970-01-05,93.46,,,
1970-01-06,92.82,,,
1970-01-07,93.63,,,
1970-01-08,93.68,,,
1970-01-09,92.4,,,
1970-01-12,91.7,,,
1970-01-13,91.79,,,
1970-01-14,91.65,,,
1970-01-15,91.68,,,
1970-01-16,90.92,,,
1970-01-19,89.65,,,
1970-01-20,89.83,,,
1970-01-21,89.91,,,
1970-01-22,89.95,,,
1970-01-23,89.07,,,
1970-01-26,88.17,,,
1970-01-27,87.62,,,
1970-01-28,86.79,,,
1970-01-29,85.69,,,
1970-01-30,85.02,,,
1970-02-02,85.75,,,
1970-02-03,86.77,,,
1970-02-04,86.24,,,
1970-02-05,85.9,,,
1970-02-06,86.33,,,
1970-02-09,87.01,,,
1970-02-10,86.1,,,
1970-02-11,86.94,,,
1970-02-12,86.73,,,
1970-02-13,86.54,,,
1970-02-16,86.47,,,
1970-02-17,86.37,,,
1970-02-18,87.44,,,
1970-02-19,87.76,,,
1970-02-20,88.03,,,
1970-02-20,88.03,,,
1970-02-24,87.99,,,
1970-02-25,89.35,,,
1970-02-26,88.9,,,
1970-02-27,89.5,,,
1970-03-02,89.71,,,
1970-03-03,90.23,,,
1970-03-04,90.04,,,
1970-03-05,90.0,,,
1970-03-06,89.44,,,
1970-03-09,88.51,,,
1970-03-10,88.75,,,
1970-03-11,88.69,,,
1970-03-12,88.33,,,
1970-03-13,87.86,,,
1970-03-16,86.91,,,
1970-03-17,87.29,,,
1970-03-18,87.54,,,
1970-03-19,87.42,,,
1970-03-20,87.06,,,
1970-03-23,86.99,,,
1970-03-24,87.98,,,
1970-03-25,89.77,,,
1970-03-26,89.22,,,
1970-03-26,89.22,,,
1970-03-30,89.63,,,
1970-03-31,89.63,,,
1970-04-01,90.07,,,
1970-04-02,89.79,,,
1970-04-03,89.39,,,
1970-04-06,88.76,,,
1970-04-07,88.52,,,
1970-04-08,88.49,,,
1970-04-09,88.53,,,
1970-04-10,88.24,,,
1970-04-13,87.64,,,
1970-04-14,86.89,,,
1970-04-15,86.73,,,
1970-04-16,85.88,,,
1970-04-17,85.67,,,
1970-04-20,85.83,,,
1970-04-21,85.38,,,
1970-04-22,84.27,,,
1970-04-23,83.04,,,
1970-04-24,82.77,,,
1970-04-27,81.46,,,
1970-04-28,80.27,,,
1970-04-29,81.87,,,
1970-04-30,81.52,,,
1970-05-01,81.44,,,
1970-05-04,79.37,,,
1970-05-05,78.6,,,
1970-05-06,79.47,,,
1970-05-07,79.83,,,
